VERSION MODEL N_VALID GRID_RES DESC FCST_LEAD FCST_VALID      FCST_ACCUM OBS_LEAD OBS_VALID       OBS_ACCUM FCST_RAD FCST_THR OBS_RAD OBS_THR FCST_VAR FCST_UNITS FCST_LEV OBS_VAR OBS_UNITS OBS_LEV OBTYPE OBJECT_ID   OBJECT_CAT  CENTROID_X CENTROID_Y CENTROID_LAT CENTROID_LON AXIS_ANG  LENGTH   WIDTH    AREA AREA_THRESH CURVATURE CURVATURE_X CURVATURE_Y COMPLEXITY INTENSITY_10 INTENSITY_25 INTENSITY_50 INTENSITY_75 INTENSITY_90 INTENSITY_50   INTENSITY_SUM CENTROID_DIST BOUNDARY_DIST CONVEX_HULL_DIST ANGLE_DIFF ASPECT_DIFF AREA_RATIO INTERSECTION_AREA UNION_AREA SYMMETRIC_DIFF INTERSECTION_OVER_AREA CURVATURE_RATIO COMPLEXITY_RATIO PERCENTILE_INTENSITY_RATIO INTEREST
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F001       CF000   51.44828  151.65517     44.02873   -126.65686  -0.22014  8.00378  3.01535   17          14 180.35542    97.48758   220.61627    0.17073        4.85        5.96          6.24       10.49         11.66           6.24      131.3          NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F002       CF001   79.45455   95.63636     39.54217   -123.05521 -71.52658 56.61049 22.78453  827         787 143.45748    96.58194   163.56445    0.13312        5.67        7.185         9.11       11.495        15.354          9.11     8081.87999      NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F003       CF000   75.125    120.875       41.60843   -123.6629   45        2.82843  2.12132    3           3 159.38557   120.44762   176.49756    0.14286        5.996       6.035         6.1         6.2           6.26           6.1        18.37         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F004       CF000   27.09091   86.36364     38.39657   -128.44093  74.92931  3.41684  2.45123    4           4 101.22921    38.89052   130.11017    0.27273        5.782       6.025         6.265       6.535         6.832          6.265      25.18         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F005       CF000   28.38235   71.64706     37.23236   -128.10642  33.78481  6.65502  6.09894   21          17  86.27074    45.39225   106.41407    0.22222        4.65        6.01          6.64        6.97          7.46           6.64      128.43         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F006       CF000   92.24742   66.81443     37.23625   -121.6345   12.46933 14.31752  7.69855   73          65 133.90036   162.49892    67.14266    0.17978        4.974       5.83          7.03        8.74         11.116          7.03      567.73         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F007       CF000   30.9375    61.25        36.43264   -127.71848 -18.88718  7.91793  4.43204   20          16  76.84868    49.24841    90.50094    0.11111        5.194       6.835         9.385      10.8425       11.59           9.385     154.53         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        F008       CF000   94.54869   36.01188     34.78956   -121.35564 -84.35852 46.26872 12.74043  354         335 114.78172   138.42285    65.25996    0.22623        5.459       6.28          7.56        8.7675       10.126          7.56     2715.84         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        O001       CO001   84.38693  104.56281     40.29206   -122.56533  87.94059 24.09231 11.02883  161         141 162.04809    79.97732   194.76183    0.19701        4.87        5.84          7.06        8.75         11.23           7.06     1239.99         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
V12.0.0 FCST  15478   9        NA   300000    20120410_180000 060000     060000   20120410_180000 060000    2        >=5.0    2       >=5.0   APCP_06  kg/m^2     A6       APCP_06 kg/m^2    A06     STAGE4        O002       CO000   85.9172    83.36306     38.56085   -122.32682  87.18156 16.07899 12.32968  126         115 135.19602   116.59531   137.93944    0.16279        5.365       6.4525        7.845       9.7825       12.405          7.845    1058.84         NA            NA               NA         NA         NA         NA                       NA         NA             NA               NA              NA               NA                         NA       NA
